track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040.0,6,71,1.0,5,31.0,100,56,53,55,53,12,4
S-Class,Stray Kids,1,2023,6,2,290,19,65496046.0,9,101,5.0,5,73.0,105,89,67,78,9,7,33
Hits Different,Taylor Swift,1,2023,5,26,547,19,68616963.0,15,15,6.0,5,73.0,106,67,24,78,15,30,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990.0,15,92,21.0,2,26.0,132,85,53,68,40,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975.0,18,41,5.0,2,19.0,120,78,5,30,21,13,5
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496.0,44,34,25.0,1,171.0,155,82,51,39,2,9,49
Abcdario,"Junior H, Eden Muñoz",2,2023,5,13,262,5,89933133.0,8,60,4.0,1,109.0,129,70,42,43,78,11,3
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139.0,10,79,2.0,1,42.0,135,80,85,74,62,8,9
Pişman Değilim,Semicenk & Doğu Swag,2,2023,6,2,185,3,43522589.0,5,6,4.0,1,33.0,98,73,45,62,28,13,13
FLOWER,JISOO,1,2023,3,31,839,18,232896922.0,20,110,20.0,1,69.0,124,84,64,39,3,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,18,37126685.0,5,17,5.0,1,69.0,135,77,28,55,18,22,15
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623.0,116,69,107.0,3,675.0,107,78,39,53,30,11,6
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353.0,116,84,114.0,18,348.0,96,54,25,74,14,9,11
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192.0,47,77,53.0,10,8.0,123,71,58,70,30,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,34,46142772.0,23,21,31.0,10,8.0,90,62,7,62,6,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314.0,41,69,38.0,10,36.0,117,72,45,59,14,20,21
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613.0,8,78,4.0,1,1.0,133,78,90,84,31,7,4
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710.0,29,65,34.0,5,3.0,96,74,61,83,11,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651.0,10,72,8.0,3,14.0,149,66,85,60,40,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,72,9.0,3,14.0,110,66,32,40,81,11,3
Players,Coi Leray,1,2022,11,30,4096,6,335074782.0,118,48,143.0,3,240.0,105,95,62,52,3,5,16
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5.0,3,56.0,105,80,69,78,28,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667.0,23,82,6.0,3,113.0,134,76,61,58,6,16,3
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45.0,5,6.0,170,71,59,56,4,27,12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245.0,1,20,5.0,5,1.0,81,59,26,60,46,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51.0,1,29.0,154,63,75,92,31,91,5
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131.0,16,29.0,169,69,69,51,63,38,4
CUFF IT,Beyoncé,1,2022,7,29,7842,10,595900742.0,215,88,330.0,26,23.0,115,78,64,69,4,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779.0,6,14,8.0,2,4.0,84,43,14,74,1,19,8
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987.0,39,14,48.0,2,3.0,93,79,58,62,11,11,23
Niña bonita,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040.0,29,26,43.0,5,44.0,91,82,47,62,10,10,15
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43.0,5,182.0,142,82,54,44,6,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncé",2,2023,5,19,896,6,57089066.0,34,2,33.0,5,1.0,126,78,20,70,1,16,4
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38.0,10,1.0,97,73,10,44,26,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,8,32761689.0,3,10,3.0,10,1.0,101,92,59,51,41,26,8
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43.0,6,2.0,98,80,23,48,14,6,5
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76.0,2,49.0,154,59,63,89,18,80,9
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63.0,4,54.0,120,91,63,58,52,31,22
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47.0,4,54.0,150,49,4,55,7,6,3
Unstoppable,Sia,1,2016,1,21,7681,13,939844851.0,119,66,0.0,2,54.0,174,47,27,78,11,10,8
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154.0,20,438.0,202,34,25,51,69,18,4
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42.0,20,23.0,153,56,42,52,5,36,24
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657.0,22,9.0,142,60,13,37,58,13,3
Cartão Black,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30.0,1,11.0,108,84,55,47,26,20,64
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,4,24975653.0,3,3,6.0,1,11.0,143,83,25,69,4,23,12
Oi Balde - Ao Vivo,Zé Neto & Cristiano,1,2023,2,14,845,2,145458418.0,12,57,47.0,1,33.0,108,67,55,67,60,80,5
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,0.0,1,17.0,104,95,78,66,3,4,6
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56.0,4,84.0,93,84,96,79,43,18,11
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21.0,1,54.0,105,65,46,53,16,9,5
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158.0,3,31.0,170,44,27,32,89,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11.0,3,1.0,178,62,56,66,18,12,5
Curtains,Ed Sheeran,1,2023,5,5,715,1,39893489.0,37,3,27.0,3,50.0,176,50,44,76,10,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115.0,14,110,9.0,3,49.0,104,80,38,88,11,11,5
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10.0,2,9.0,85,70,83,84,31,47,30
Conexões de Máfia,"Matuê, Rich the Kid",2,2023,4,30,385,4,77233241.0,17,7,41.0,1,29.0,117,77,69,58,39,26,5
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30.0,6,29.0,80,52,57,48,86,15,39
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51.0,6,20.0,98,44,36,41,50,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541.0,45,80,53.0,8,4.0,178,79,58,78,34,11,25
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48.0,8,6.0,148,51,27,33,48,22,3
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30.0,8,320.0,120,77,94,66,65,38,3
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7.0,8,55.0,122,68,38,88,1,8,5
Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,sped up 8282,1,1997,1,1,472,2,103762518.0,16,102,6.0,8,55.0,144,74,75,73,42,9,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12.0,2,33.0,96,93,47,47,33,10,36
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9.0,2,55.0,137,77,35,88,16,17,9
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13.0,2,4.0,121,94,71,61,12,53,42
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,4,96180277.0,36,65,28.0,2,4.0,119,60,10,57,1,50,3
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19.0,2,5.0,96,72,40,47,71,13,4
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147.0,11,20.0,111,87,53,52,66,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,114,104,147.0,11,20.0,148,90,74,68,14,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4.0,2,37.0,182,57,80,59,8,6,5
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087.0,234,71,543.0,18,37.0,141,79,82,86,28,4,9
Igualito a Mi Apá,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5.0,1,4.0,145,76,80,81,19,6,9
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10.0,1,64.0,110,76,26,70,1,41,6
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1.0,1,18.0,134,70,35,41,41,10,3
DESPECHÁ,Rosalía,1,2022,7,28,7613,33,782369383.0,180,90,422.0,15,55.0,130,92,78,62,18,6,10
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127.0,3,16.0,145,84,88,53,35,8,7
Watch This - Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,142,23,21.0,3,16.0,130,69,36,90,1,15,4
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295.0,17,80,22.0,9,38.0,173,59,69,53,12,23,3
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37.0,5,1.0,92,75,55,76,25,10,15
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36.0,1,37.0,105,56,57,87,25,10,4
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24.0,1,30.0,175,59,15,64,43,12,10
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27.0,1,43.0,120,80,33,70,22,9,4
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403.0,3,31,2.0,1,43.0,139,70,77,48,37,12,5
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603.0,4,71,16.0,1,9.0,132,59,56,82,12,12,6
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142.0,1,27.0,114,32,17,74,14,17,3
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,15,34502215.0,5,9,5.0,1,27.0,145,54,19,48,36,37,5
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240.0,53,120,62.0,1,2.0,110,82,67,69,36,18,4
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32.0,3,2.0,94,89,61,66,17,36,16
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801.0,1,105.0,134,45,17,60,21,33,4
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5.0,1,5.0,120,62,32,76,21,39,4
Rosa Pastel,"Jasiel Nuñez, Peso Pluma",2,2023,2,2,200,4,90025258.0,8,77,2.0,1,1.0,123,70,86,68,24,11,4
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110.0,19,1.0,131,77,84,71,35,15,4
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,0.0,1,51.0,171,70,6,73,1,36,26
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,0.0,1,51.0,130,80,64,76,2,20,6
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671.0,10,41,20.0,1,1.0,94,82,53,67,34,9,8
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11.0,2,24.0,89,73,44,57,39,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15.0,2,6.0,87,65,71,56,4,15,20
"Arcángel: Bzrp Music Sessions, Vol. 54","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18.0,1,1.0,124,72,79,78,55,15,30
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,3,80758350.0,23,3,18.0,1,33.0,78,71,80,65,51,22,32
10:35,Tate McRae e Tiësto,2,2022,11,1,4942,26,325592432.0,190,104,147.0,18,63.0,120,70,70,79,7,18,10
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,26,58473276.0,8,1,13.0,18,63.0,96,48,50,80,40,37,20
HAPPY,NF,1,2023,3,25,660,26,52722996.0,22,7,11.0,18,78.0,106,73,22,86,31,12,4
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5.0,1,2.0,170,78,75,46,62,12,35
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,17,77377503.0,16,15,5.0,1,1.0,134,67,11,76,8,30,7
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199.0,16,58.0,115,71,90,73,30,11,5
Leão,Marília Mendonça,1,2022,12,9,993,4,267789608.0,30,84,88.0,1,28.0,130,74,79,87,45,30,3
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483.0,240,98,468.0,3,10.0,118,65,63,79,3,10,3
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46.0,16,117.0,110,59,22,38,42,12,3
VOID,Melanie Martinez,1,2023,3,29,596,12,67070410.0,29,9,12.0,16,52.0,100,72,42,66,18,19,4
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2.0,1,9.0,142,70,76,79,26,11,7
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21.0,1,9.0,140,64,18,37,72,12,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66.0,9,444.0,116,90,96,73,62,9,4
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9.0,9,14.0,120,73,64,85,25,61,3
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43.0,8,85.0,92,76,46,79,31,7,6
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21.0,8,85.0,110,81,64,79,5,31,3
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50.0,8,22.0,120,71,57,97,1,13,11
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,68,386.0,8,22.0,80,63,40,61,9,56,6
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55.0,1,16.0,115,95,43,69,47,9,31
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135.0,1,6.0,76,58,46,67,65,13,4
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181.0,1,10.0,172,60,77,78,45,12,6
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,0.0,1,13.0,99,40,45,56,69,9,5
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785.0,122,94,0.0,1,18.0,136,36,12,57,9,14,8
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,4,244658767.0,27,27,29.0,1,1.0,150,90,64,14,67,11,10
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,4,68216992.0,27,27,29.0,1,1.0,92,71,41,31,79,10,5
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566.0,20,8,30.0,2,1.0,95,77,72,87,17,7,5
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764.0,72,64,64.0,6,3.0,102,83,58,83,21,10,5
Low,SZA,1,2022,12,9,1911,30,272377463.0,23,71,14.0,6,9.0,145,70,34,55,43,16,6
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,71,0.0,6,9.0,110,50,24,86,43,64,4
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,5,149778242.0,32,18,39.0,2,9.0,95,64,30,77,46,38,6
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790.0,22,82,8.0,2,9.0,94,68,81,82,53,9,13
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5.0,2,21.0,142,61,92,91,53,26,3
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197.0,3,165.0,145,59,20,74,1,15,5
Ain’t That Some,Morgan Wallen,1,2023,3,3,356,4,88791109.0,4,20,197.0,3,165.0,121,64,67,80,1,36,3
Thinkin’ Bout Me,Morgan Wallen,1,2023,3,3,604,6,125917280.0,22,101,197.0,3,66.0,140,66,43,76,49,12,3
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,6,105062254.0,29,3,18.0,3,19.0,137,84,44,67,8,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,579,6,95623148.0,11,54,18.0,3,103.0,104,56,72,85,8,15,3
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800.0,61,6,48.0,3,150.0,92,57,68,76,7,33,3
LET GO,Central Cee,1,2022,12,15,2301,20,298063749.0,49,23,110.0,3,8.0,146,74,51,45,86,21,38
Sial,Mahalini,1,2023,1,23,134,4,166570053.0,4,6,110.0,3,23.0,120,56,20,43,89,12,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,4,83021468.0,15,17,110.0,3,23.0,144,68,83,81,9,8,4
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,4,139836056.0,11,101,110.0,3,48.0,94,59,44,56,80,6,3
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294.0,32,3,9.0,3,48.0,94,73,65,79,5,11,6
PLAYA DEL INGLÉS,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663.0,30,15,34.0,2,47.0,113,79,66,74,8,11,5
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,15,58890931.0,14,35,1.0,2,47.0,148,50,49,76,12,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,15,81419389.0,45,11,20.0,2,21.0,98,70,29,73,12,11,26
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415.0,1,10,1.0,2,1.0,140,58,26,38,91,10,4
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316.0,59,100,58.0,13,2.0,100,36,28,28,81,18,3
Pero Tú,"Karol G, Quevedo",2,2023,2,23,387,11,93438910.0,11,15,14.0,3,1.0,140,86,68,79,39,11,29
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647.0,20,119,12.0,2,7.0,100,59,78,94,27,29,23
Bloody Mary,Lady Gaga,1,2011,1,1,3909,17,372476382.0,66,26,277.0,3,734.0,100,59,49,65,2,13,3
Monotonía,"Ozuna, Shakira",2,2022,10,19,3645,15,380726517.0,118,34,150.0,4,19.0,132,87,82,70,42,21,5
’98 Braves,Morgan Wallen,1,2023,3,3,282,15,56533272.0,6,15,150.0,4,19.0,142,49,48,67,10,26,3
WANDA,Quevedo,1,2023,1,20,888,22,175399345.0,11,24,7.0,1,7.0,176,72,96,63,25,21,7
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468.0,16,53,1.0,1,61.0,140,53,51,70,49,14,3
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576.0,63,53,0.0,2,61.0,105,55,40,90,1,32,6
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498.0,20,1,71.0,2,61.0,135,81,97,77,75,35,3
Lovezinho,Treyce,1,2022,7,28,242,4,70069745.0,12,2,13.0,2,4.0,128,82,61,59,30,12,4
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408.0,94,21,80.0,15,38.0,101,74,43,69,12,12,7
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962.0,20,64,35.0,6,38.0,122,88,43,50,7,14,5
Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576.0,16,19,21.0,3,4.0,105,76,49,56,80,10,13
’98 Braves,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665.0,6,1,21.0,3,1.0,83,53,40,36,73,11,33
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149.0,122,88,580.0,21,10.0,77,72,59,76,24,42,28
Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230.0,7,88,203.0,21,2.0,140,75,18,25,78,11,26
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310.0,26,69,73.0,2,6.0,158,65,72,95,31,92,5
LA CANCIÓN,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,1435127549.0,177,109,305.0,3,5.0,176,75,43,65,15,11,32
Qué Agonía,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112.0,19,59,18.0,5,52.0,98,73,88,57,56,5,2
Love Again,The Kid Laroi,1,2023,1,27,1283,15,147538971.0,57,4,48.0,5,52.0,107,66,47,40,72,11,3
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140.0,45,115,218.0,1,221.0,109,66,16,57,10,12,3
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473.0,45,115,25.0,1,221.0,109,84,72,74,10,34,7
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,2,34450974.0,5,9,25.0,1,221.0,148,53,61,81,5,36,4
Shinunoga E-Wa,Fujii Kaze,1,2020,5,20,685,14,403097450.0,24,94,9.0,1,23.0,158,60,52,76,17,19,5
Besos Moja2,"Wisin & Yandel, Rosalía",2,2022,9,29,2460,13,309483971.0,53,7,56.0,3,1.0,94,74,64,73,6,10,6
Maan Meri Jaan,King,1,2022,10,12,288,6,319566866.0,11,80,1.0,3,8.0,96,70,40,51,35,10,4
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996.0,74,113,85.0,9,2.0,100,80,29,67,29,12,3
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512.0,74,113,85.0,9,2.0,105,58,42,68,1,14,4
Devil Don’t Know,Morgan Wallen,1,2023,3,3,166,13,32526947.0,2,10,85.0,9,2.0,125,53,32,66,38,9,3
LLYLM,Rosalía,1,2023,1,27,1838,13,124988687.0,105,41,114.0,1,59.0,170,56,56,63,13,19,27
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,13,103787664.0,86,1,49.0,1,9.0,115,70,84,90,17,41,6
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790.0,88,24,101.0,7,451.0,122,64,25,89,17,15,9
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721.0,23,95,11.0,7,3.0,105,88,82,80,8,11,8
Boy's a liar,PinkPantheress,1,2022,11,30,1225,12,156338624.0,27,95,28.0,13,3.0,133,66,74,84,25,21,4
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295.0,15,40,21.0,1,15.0,100,79,60,68,7,26,4
Shirt,SZA,1,2022,10,28,3469,2,309653982.0,71,95,31.0,1,2.0,120,82,55,45,15,9,10
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,2,297328960.0,129,31,212.0,1,41.0,177,25,17,30,90,13,3
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,2,332506354.0,113,17,208.0,1,192.0,142,64,31,72,15,9,5
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035.0,47,60,87.0,12,124.0,144,57,47,84,1,52,4
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,16,1065580332.0,113,92,259.0,12,1.0,120,65,80,86,9,19,10
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,16,122763672.0,9,1,12.0,4,3.0,135,92,73,51,55,15,6
Calm Down,Rema,1,2022,2,9,4013,10,445763624.0,107,44,750.0,22,3.0,107,81,82,78,38,12,4
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184.0,13,78,2.0,22,3.0,105,82,62,74,10,33,7
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,4,184308753.0,12,1,11.0,22,8.0,108,44,38,77,9,9,20
Space Song,Beach House,1,2015,1,1,17852,4,789753877.0,69,76,335.0,22,8.0,147,51,62,79,22,14,3
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833.0,11,78,35.0,22,21.0,115,71,34,88,16,44,4
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689.0,124,66,212.0,13,1.0,174,70,57,64,23,8,32
Muñecas,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253.0,33,7,53.0,2,1.0,90,68,83,71,3,31,8
TV,Billie Eilish,1,2022,7,21,3009,2,338564981.0,68,89,65.0,2,25.0,141,41,9,25,84,14,4
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953.0,136,24,0.0,2,30.0,82,68,50,49,56,8,4
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902.0,82,1,231.0,2,2.0,92,47,25,43,62,32,3
