track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,84,4.0,14,37.0,101,88,72,59,62,9,3
BESO,Rauw Alejandro e Rosalía,2,2023,3,24,4053,50,357925728.0,82,121,182.0,12,171.0,95,77,53,64,74,17,14
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89.0,11,16.0,98,90,40,59,74,10,29
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,0.0,5,16.0,173,43,28,66,74,23,3
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32.0,5,272.0,90,64,10,62,7,48,7
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169.0,8,529.0,198,59,71,42,55,10,7
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31.0,1,26.0,140,56,48,73,55,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8.0,2,5.0,82,51,22,53,1,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58.0,3,169.0,130,77,84,89,17,43,5
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707.0,28,169.0,81,76,53,53,44,9,9
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109.0,18,230.0,94,51,14,59,65,25,3
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,0.0,1,230.0,124,61,41,81,5,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164.0,14,176.0,128,62,55,78,1,23,4
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,65,0.0,9,176.0,138,49,42,62,9,11,3
Here With Me,D4vd,1,2022,7,17,3246,23,635412045.0,94,85,68.0,1,84.0,132,58,27,48,50,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331.0,26,154.0,131,71,24,47,1,27,9
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80.0,14,194.0,168,78,58,73,5,10,7
Corazón Vacío,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18.0,4,93.0,98,68,40,79,33,30,6
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,0.0,1,93.0,102,48,50,73,43,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71.0,1,115.0,101,34,32,57,78,20,3
Novidade na Área,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25.0,2,72.0,130,63,36,34,76,35,9
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5.0,2,8.0,142,50,20,64,1,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798.0,31,8.0,170,59,48,76,4,10,5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110.0,11,323.0,124,78,70,68,3,11,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,0.0,11,323.0,110,50,45,41,75,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141.0,26,49.0,92,91,43,71,9,9,8
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,0.0,22,0.0,116,82,40,66,39,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8.0,22,0.0,129,63,84,82,70,9,7
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35.0,22,429.0,98,71,67,60,19,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24.0,22,162.0,172,74,76,76,6,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29.0,5,82.0,150,68,14,76,4,10,4
Don’t Blame Me,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,29.0,5,10.0,136,62,19,53,11,6,4
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8.0,5,10.0,88,53,34,47,9,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69.0,2,478.0,143,83,69,44,15,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63.0,1,478.0,100,49,17,35,71,11,3
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42.0,1,236.0,143,56,39,55,14,11,13
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,0.0,3,200.0,112,56,24,66,7,12,3
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25.0,4,78.0,93,62,57,59,3,38,3
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163.0,4,5.0,206,43,50,55,50,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19.0,2,266.0,88,68,17,71,15,11,5
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59.0,3,486.0,170,50,37,90,15,12,5
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,0.0,5,204.0,84,62,24,67,21,13,28
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4.0,4,34.0,134,81,53,72,51,12,5
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6.0,6,202.0,158,54,50,40,61,10,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,0.0,37,312.0,116,80,92,80,4,10,3
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59.0,1,32.0,117,61,45,69,2,9,3
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327.0,17,153.0,114,77,65,72,2,7,5
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,0.0,5,519.0,108,61,47,68,2,13,3
